reference,subtype,gene,donors,effect,positive_fraction,p,loo_min,q
nonmidget,HRGC10,SLC44A5,8,-0.38389046709987357,0.375,0.40081416938293446,-0.570514925160675,0.46532515706725897
nonmidget,HRGC10,SDK1,8,-1.2012846046004515,0.125,0.017290280592906247,-1.4032609531368627,0.031898211576011526
nonmidget,HRGC10,CAV2,8,0.6672024446625342,0.75,0.09289194088370531,0.28153754155406613,0.13715588586855817
nonmidget,HRGC10,TMEM144,8,-2.0849956494354194,0.0,0.011718685599768632,-2.2400278015275132,0.023122070241695956
nonmidget,HRGC10,RBMS3,8,0.21315548171862642,0.75,0.2626182904425206,0.07359724854803648,0.33062102373307317
nonmidget,HRGC10,VAT1L,8,0.6117791752489125,0.875,0.017290280592906247,0.47234109801991536,0.031898211576011526
nonmidget,HRGC10,HFE,8,-0.14430434554347973,0.0,0.10880943004054569,-0.16491925204969113,0.1587931980691214
nonmidget,HRGC10,BRINP1,8,-0.3797646779539079,0.125,0.017290280592906247,-0.4362728085878703,0.031898211576011526
nonmidget,HRGC10,PARM1,8,-0.9305326720388383,0.0,0.011718685599768632,-1.0625410685443348,0.023122070241695956
nonmidget,HRGC10,VEGFC,8,0.21235120522433748,0.25,0.6744240722352938,-0.23829244637530156,0.7211338803973979
nonmidget,HRGC10,ITGA7,8,0.05164519640713783,0.625,1.0,-0.05793792480457295,1.0
nonmidget,HRGC10,PTPRT,8,-5.134993265060185,0.0,0.011718685599768632,-5.463698806970505,0.023122070241695956
nonmidget,HRGC10,SHROOM3,8,-0.04483420912969793,0.625,0.779434528427275,-0.33514433393040477,0.8088471521415117
nonmidget,HRGC10,CTXN3,8,-0.23173308362732747,0.0,0.027707849358079868,-0.2648378098598028,0.04790355095306539
nonmidget,HRGC10,DDX60,8,0.09447960880688366,0.625,0.8886378608950078,-0.3730028422809631,0.9030038309325714
nonmidget,HRGC10,KBTBD11,8,-0.5112742770440089,0.25,0.17629637444051116,-0.7564557288689799,0.2368561977216028
nonmidget,HRGC10,MAN1A1,8,-2.4186971694638593,0.125,0.017290280592906247,-2.854074006204241,0.031898211576011526
nonmidget,HRGC10,RASGRP1,8,-0.3862753731429969,0.125,0.16142946236708322,-0.7871930223752336,0.21821494144859177
nonmidget,HRGC11,ENPP2,8,-0.12888240887431585,0.375,0.6744240722352938,-0.5678035947386013,0.7211338803973979
nonmidget,HRGC11,GDF6,8,-0.022739536412907508,0.0,0.31731050786291415,-0.025988041614751437,0.39163148235534984
nonmidget,HRGC11,GNAI1,8,-0.1985689452542645,0.25,0.2626182904425206,-0.29968612176715365,0.33062102373307317
