reference,subtype,donor,study,score
all,MG_ON,BCM_22_0500,Chen_ancestry,0.3100897333015772
all,MG_ON,BCM_22_0784,Chen_ancestry,0.14647922154840382
all,MG_ON,BCM_22_0849,Chen_ancestry,0.5905481087671353
all,MG_ON,BCM_22_0867,Chen_ancestry,0.22965396757024548
all,MG_ON,BCM_22_0890,Chen_ancestry,0.5370975697064544
all,MG_ON,BCM_22_0896,Chen_ancestry,0.3985633974340557
all,MG_ON,BCM_23_0131,Chen_ancestry,0.48131693571957157
all,MG_ON,BCM_23_0231,Chen_ancestry,0.26491041697010465
all,MG_ON,BCM_23_0313,Chen_ancestry,0.9013529394165427
all,MG_ON,BCM_23_0334,Chen_ancestry,0.1620512880507313
all,MG_ON,BCM_23_0358,Chen_ancestry,0.2543763872756855
all,MG_ON,BCM_23_0574,Chen_ancestry,0.36947269037306035
all,MG_ON,BCM_23_0578,Chen_ancestry,0.38627347010917434
all,MG_ON,BCM_23_0792,Chen_ancestry,0.3100625963503647
all,MG_ON,BCM_23_1340,Chen_ancestry,0.6245958313231967
all,MG_ON,BCM_23_1401,Chen_ancestry,0.45436196359026604
all,MG_ON,BCM_23_1448,Chen_ancestry,0.585798992865102
all,MG_ON,BCM_23_1556,Chen_ancestry,0.499337137623144
all,MG_ON,BCM_24_0080,Chen_ancestry,0.284652204506222
all,MG_ON,Chen_19_D003,Chen_c_GSE247157,0.3820065463838933
all,MG_ON,Chen_19_D006,Chen_c_GSE247157,0.44722970236241444
all,MG_ON,Chen_19_D007,Chen_rgc,0.5993526448401264
all,MG_ON,Chen_19_D010,Chen_c_GSE247157,0.30868342194134296
all,MG_ON,Chen_19_D011,Chen_rgc,0.2865626314166022
all,MG_ON,Chen_19_D013,Chen_b_GSE226108,0.5148443268672513
all,MG_ON,Chen_19_D014,Chen_b_GSE226108,0.5620360657935947
all,MG_ON,Chen_19_D015,Chen_b_GSE226108,0.5851971217118874
all,MG_ON,Chen_19_D016,Chen_rgc,0.45413255687051823
all,MG_ON,Chen_19_D017,Chen_rgc,0.5524795802162712
all,MG_ON,Chen_19_D019,Chen_c_GSE247157,0.11373727925386115
all,MG_ON,Chen_D005_13,Chen_c_GSE247157,0.3726355727443349
all,MG_ON,Chen_D009_13,Chen_c_GSE247157,0.29707564137462894
all,MG_ON,Chen_D013_13,Chen_c_GSE247157,0.15227708568584586
all,MG_ON,Chen_D017_13,Chen_c_GSE247157,0.2290868691249755
all,MG_ON,Chen_D018_13,Chen_c_GSE247157,0.3389980245888492
all,MG_ON,Chen_D021_13,Chen_c_GSE247157,0.05796521413300129
all,MG_ON,Chen_D026_13,Chen_c_GSE247157,0.4778011747119768
all,MG_ON,Chen_D027_13,Chen_c_GSE247157,0.677496740952597
all,MG_ON,Hu0218,Shekhar_GSE237204,0.3793850873467641
all,MG_ON,Hu0220,Shekhar_GSE237204,0.1615468473023416
all,MG_ON,Hu0235,Shekhar_GSE237204,0.3093678367315603
all,MG_ON,Hu0326,Shekhar_GSE237204,0.49728181284894435
all,MG_ON,Hu0355,Shekhar_GSE237204,0.23894941235132974
all,MG_ON,Hu0563,Shekhar_GSE237204,0.32262598662964476
all,MG_ON,Hu0564,Shekhar_GSE237204,0.4171241361933119
all,MG_ON,Hu0869,Shekhar_GSE237204,0.3364750745129519
all,MG_ON,Hu0887,Shekhar_GSE237204,0.4287848800455277
all,MG_ON,Hu1059,Shekhar_GSE237204,0.31497684788390845
all,MG_ON,MMD_22_02443,Chen_ancestry,0.5119433649628466
all,MG_ON,MMD_22_13066,Chen_ancestry,0.47996807551137793
all,MG_ON,MMD_22_14307,Chen_ancestry,0.3136594949247699
all,MG_ON,MMD_22_16477,Chen_ancestry,0.42089106497022577
all,MG_ON,MMD_22_16608,Chen_ancestry,0.5138228374427267
all,MG_ON,MMD_22_16860,Chen_ancestry,0.43928232042748727
all,MG_ON,MMD_22_17017,Chen_ancestry,0.39669442021696694
all,MG_ON,MMD_22_17464,Chen_ancestry,0.2106620022644357
all,MG_ON,MMD_22_17939,Chen_ancestry,0.6326123434932475
all,MG_ON,MMD_22_18633,Chen_ancestry,0.2434423436380417
all,MG_ON,MMD_22_20137,Chen_ancestry,0.3810613798012922
all,MG_ON,MMD_22_20357,Chen_ancestry,0.21567942297854256
all,MG_ON,MMD_22_20372,Chen_ancestry,0.4082627832397559
all,MG_ON,MMD_22_21878,Chen_ancestry,0.34914357671354046
all,MG_ON,MMD_22_25357,Chen_ancestry,0.15329550166453165
all,MG_ON,MMD_22_32888,Chen_ancestry,0.3929862358382743
all,MG_ON,MMD_22_33472,Chen_ancestry,0.48530777094300454
all,MG_ON,MMD_22_34032,Chen_ancestry,0.6408181978781645
all,MG_ON,MMD_22_37089,Chen_ancestry,0.41123713134224016
all,MG_ON,MMD_22_37117,Chen_ancestry,0.5729719991757755
all,MG_ON,MMD_22_38029,Chen_ancestry,0.28075607787326995
all,MG_ON,MMD_22_38453,Chen_ancestry,0.5583169547166733
all,MG_ON,MMD_23_01524,Chen_ancestry,0.3205285064365888
all,MG_ON,MMD_23_02177,Chen_ancestry,0.2576645030195784
all,MG_ON,MMD_23_16055,Chen_ancestry,0.767992028828092
all,MG_ON,MMD_23_17738,Chen_ancestry,0.6272356747694793
all,MG_ON,MMD_23_21999,Chen_ancestry,0.24116287248070783
all,MG_ON,MMD_23_22486,Chen_ancestry,0.34967322747564855
all,MG_ON,sanes2022_Hu082219,Shekhar_GSE237204,0.17924825117192922
all,PG_OFF,19-D009,Chen_rgc,-0.486447205325217
all,PG_OFF,BCM_22_0183,Chen_ancestry,-0.13650578170883393
all,PG_OFF,BCM_22_0200,Chen_ancestry,-0.2502771146532573
all,PG_OFF,BCM_22_0434,Chen_ancestry,0.13359000354396122
