type,mouse,strata,control_cells,injured_cells,injury_difference
5,Gldn,2,383,320,2.3507226490203164
5,Ndnf,2,383,320,2.141340405413449
5,Ctxn3,2,383,320,-1.1884319922320006
5,Gdf6,2,383,320,0.9443231593441987
5,Eomes,2,383,320,1.2977498856000174
5,Ifitm10,2,383,320,3.285996227151011
5,Igf1,2,383,320,0.10005600950507754
5,Cd24a,2,383,320,4.714270644756561
5,Man1a,2,383,320,1.4955214228946248
5,Vat1l,2,383,320,0.3649231624588479
5,Tbx20,2,383,320,0.31924196644028424
5,Ptprt,2,383,320,0.9603804128489198
5,Tmem255b,2,383,320,0.1911295021669009
5,Dmrtb1,2,383,320,0.5192367118421581
5,Parm1,2,383,320,-0.9821456495916534
5,Dgkg,2,383,320,0.7559968953649525
5,Prph,2,383,320,-3.1861492062852226
5,Plekha2,2,383,320,1.0635822856214787
5,Nppb,2,383,320,1.630315442840284
5,Vim,2,383,320,4.491950059664465
5,Enpp2,2,383,320,1.2254036201098881
5,Igfbp2,2,383,320,-0.324736838531266
5,Rgs10,2,383,320,-0.2989626321391854
5,Mgll,2,383,320,-1.538663336444158
5,Phgdh,2,383,320,2.8654361337289362
5,Mei4,2,383,320,0.10382247978089909
5,Lmo1,2,383,320,1.7740704736775506
5,Myo1b,2,383,320,-0.5636837429328407
5,Pdzd2,2,383,320,-0.21990574382150374
5,Lamb1,2,383,320,-1.4576387509804514
5,Rbpms2,2,383,320,-1.8582989780225394
5,Nell2,2,383,320,-0.9277342005381257
5,Plch2,2,383,320,-0.9689329735673913
5,Lrrc7,2,383,320,-0.23886791044011746
5,Calb2,2,383,320,-2.2093697015687823
5,Hpcal1,2,383,320,-1.1940981490404958
5,Rxrg,2,383,320,-1.3958279842126737
5,Kcnj5,2,383,320,-1.6756603270743233
5,Alcam,2,383,320,-1.5901592830697822
5,Nfe2l2,2,383,320,-0.0002827426324052418
5,Ptn,2,383,320,-0.4940313906457776
5,Bcl11b,2,383,320,-0.4862915190133922
5,Aldh2,2,383,320,-0.31941901198260014
5,Klc3,2,383,320,-0.3219242882717248
5,Crtac1,2,383,320,-1.5093168329221651
5,Neurod1,2,383,320,0.0
5,Dpysl4,2,383,320,-0.29180686210288487
5,Gnai1,2,383,320,-0.6692830771276692
5,Chrnb2,2,383,320,-0.9997154167778461
5,Dlgap1,2,383,320,0.30562302890742066
5,Dtx3l,2,383,320,1.9212667392486442
5,Lpar1,2,383,320,-0.17750028084804909
5,Pdlim5,2,383,320,0.3810378508480846
5,Etl4,2,383,320,-0.8274045542521402
5,Fgf18,2,383,320,-1.1494307264228127
5,Man1a2,2,383,320,0.829015538932524
5,Igfbp5,2,383,320,-0.19083775743339837
5,Il1rapl2,2,383,320,0.0
5,Irx1,2,383,320,0.0
5,Slc16a2,2,383,320,0.5778638464835038
5,Ostf1,2,383,320,0.3229588864461328
5,Ksr1,2,383,320,0.2044469688258883
5,Slc7a8,2,383,320,-0.4218296254239561
5,Kcnc4,2,383,320,-1.3596830248023193
5,Tmem200a,2,383,320,0.43058171802867196
5,Srpx2,2,383,320,1.4164145033109576
5,Tgfbr3,2,383,320,0.43087238216647483
5,Slc44a5,2,383,320,1.9320137460589366
5,Sdk1,2,383,320,1.3908786639387232
5,Cav2,2,383,320,2.194207248943643
5,Tmem144,2,383,320,0.491268450534443
5,Rbms3,2,383,320,0.5173093144443284
5,Hfe,2,383,320,0.8643973340751658
5,Brinp1,2,383,320,0.5941342293015213
5,Vegfc,2,383,320,0.6658255563900525
5,Itga7,2,383,320,1.2698256587630632
5,Shroom3,2,383,320,-0.0038983257937505456
5,Ddx60,2,383,320,0.6658255563900525
5,Kbtbd11,2,383,320,-0.48200302213276025
6,Opn4,2,178,462,0.19325841481855766
6,Rasgrp1,2,178,462,0.4228339451780906
6,Prkcq,2,178,462,0.301314455133015
6,Gldn,2,178,462,2.573692626648029
6,Ndnf,2,178,462,1.4259115832884222
6,Ctxn3,2,178,462,0.41225355199338676
6,Gdf6,2,178,462,1.0007888220837575
6,Eomes,2,178,462,-0.5377663600655824
6,Ifitm10,2,178,462,1.7225087018486265
6,Igf1,2,178,462,1.791577105779386
6,Cd24a,2,178,462,4.6512956856498135
6,Man1a,2,178,462,1.350377290962308
6,Vat1l,2,178,462,0.48891265390435634
6,Tbx20,2,178,462,0.031124734586002012
6,Ptprt,2,178,462,0.7832569823551512
6,Tmem255b,2,178,462,0.0
6,Dmrtb1,2,178,462,-0.6462830879696517
6,Parm1,2,178,462,-2.540189018137275
6,Dgkg,2,178,462,0.46655098757910346
6,Prph,2,178,462,0.010400125651496173
6,Plekha2,2,178,462,1.967099729719663
6,Nppb,2,178,462,0.7720875810809702
6,Vim,2,178,462,5.004045175489376
6,Enpp2,2,178,462,0.6881037236637174
6,Igfbp2,2,178,462,1.6509061123553943
6,Rgs10,2,178,462,-1.795433044162059
6,Mgll,2,178,462,-2.71369918287803
6,Phgdh,2,178,462,2.1146093860121375
6,Mei4,2,178,462,0.6835443016948792
6,Lmo1,2,178,462,1.516135075172044
6,Myo1b,2,178,462,-1.6929631009213457
6,Pdzd2,2,178,462,-0.3565477215786874
6,Lamb1,2,178,462,-1.5576172262894217
6,Rbpms2,2,178,462,-2.7650445772662238
6,Nell2,2,178,462,-1.5754422837099704
6,Plch2,2,178,462,-2.413496099590371
6,Lrrc7,2,178,462,1.4564182117098547
6,Calb2,2,178,462,-2.3904538405998803
6,Hpcal1,2,178,462,-2.5466822537415017
6,Rxrg,2,178,462,-2.040403392559444
6,Kcnj5,2,178,462,-2.7665888395694864
6,Alcam,2,178,462,-2.4059553813385497
6,Nfe2l2,2,178,462,-0.19609412130066595
6,Ptn,2,178,462,-1.77281436460223
6,Bcl11b,2,178,462,-2.700363661026233
6,Aldh2,2,178,462,-1.0188499646331723
6,Klc3,2,178,462,0.2766040722391421
6,Crtac1,2,178,462,-2.79653385803027
6,Neurod1,2,178,462,0.0
6,Dpysl4,2,178,462,-0.6707570926314927
6,Gnai1,2,178,462,-0.7233503275540962
6,Chrnb2,2,178,462,-1.2541791375605693
6,Dlgap1,2,178,462,1.477780454372346
6,Dtx3l,2,178,462,1.9965819744939945
6,Lpar1,2,178,462,0.3474537937100844
6,Pdlim5,2,178,462,2.467564464888018
6,Etl4,2,178,462,-0.16979803554353468
6,Fgf18,2,178,462,0.4184475489331494
6,Man1a2,2,178,462,0.7763760574220511
6,Igfbp5,2,178,462,0.6328954392797956
6,Il1rapl2,2,178,462,1.61902022145909
6,Irx1,2,178,462,0.738518500394276
6,Slc16a2,2,178,462,0.4184475489331494
6,Ostf1,2,178,462,0.8551564162197716
6,Ksr1,2,178,462,-0.29893152361684927
6,Slc7a8,2,178,462,-0.2665903706131445
6,Kcnc4,2,178,462,-2.0770191870166075
6,Tmem200a,2,178,462,0.9135351737610038
6,Srpx2,2,178,462,1.637356565448167
6,Tgfbr3,2,178,462,-0.5237765449645002
6,Slc44a5,2,178,462,1.8777850814729005
6,Sdk1,2,178,462,1.4223710542253591
6,Cav2,2,178,462,1.4730965518550516
6,Tmem144,2,178,462,1.4890770611152155
6,Rbms3,2,178,462,-0.08880776106142863
6,Hfe,2,178,462,0.8140869078850802
6,Brinp1,2,178,462,-0.6869013521774798
