mouse,human,atlas_effect,control_effect,auc,p,q,min_batch_loo_effect,max_batch_loo_effect
Slc44a5,SLC44A5,1.3378273661052855,0.6494924800989919,0.943609022556391,0.0001429240479555,0.048389690020241,1.1315125835709607,1.4669019153135971
Sdk1,SDK1,2.254236641803479,2.431151828360225,0.8947368421052632,0.0010657949453826,0.048389690020241,2.194037723132643,2.3274694002512777
Cav2,CAV2,1.3930836807421008,1.096473913934536,0.9323308270676692,0.0003361494596247,0.048389690020241,1.335439807870467,1.470746361878323
Tmem144,TMEM144,1.1229566336846597,1.2264057523108522,0.8909774436090225,0.0011812151776079,0.049783951724061,0.9061403628555283,1.4408919874853994
Rbms3,RBMS3,1.107919221266345,1.011158357448215,0.8984962406015038,0.0009535901089435,0.048389690020241,1.0919703916357468,1.1248969018495618
Vat1l,VAT1L,3.4555948918414376,3.260669087005702,0.9022556390977444,0.0008524133205349,0.048389690020241,3.239630004738971,3.6682327592107815
Hfe,HFE,1.4288667458042854,1.1488319903903306,0.8947368421052632,0.0010657949453826,0.048389690020241,1.3586665958888786,1.468184604492886
Brinp1,BRINP1,1.361623263504632,1.540294655872807,0.9022556390977444,0.0008524133205349,0.048389690020241,1.342824384456632,1.386711220543484
Parm1,PARM1,2.907289089752298,2.6452432304233233,0.9473684210526316,0.0002064540577992,0.048389690020241,2.7404991473322924,3.0230776331115536
Vegfc,VEGFC,1.127848317043009,0.5632050430221038,0.8984962406015038,0.0009521102929435,0.048389690020241,0.8759738165627384,1.3137313077226087
Itga7,ITGA7,1.3800397136610756,1.032769557891793,0.9210526315789472,0.0004757099592347,0.048389690020241,1.2964880396866283,1.4270500022098414
Ptprt,PTPRT,3.061452421427429,3.069540743121423,0.9285714285714286,0.0003781630279732,0.048389690020241,2.876723397331901,3.1840473301421888
Shroom3,SHROOM3,1.196060774224035,0.8452007742069709,0.8984962406015038,0.0008251677249402,0.048389690020241,1.1347440498554948,1.296528664430496
Ctxn3,CTXN3,4.567418807748286,4.538273772159043,0.924812030075188,0.0004265507497236,0.048389690020241,4.254029686086059,4.726968418036454
Ddx60,DDX60,1.0050871730315645,0.5219404645748815,0.8646616541353384,0.0011696621794347,0.049783951724061,0.889445188750576,1.0859951611720975
Kbtbd11,KBTBD11,1.692857633128547,1.6903475203031055,0.9097744360902256,0.0006792459367751,0.048389690020241,1.642263903526659,1.7200503246285654
Man1a,MAN1A1,3.121051504404451,2.649445551238463,0.9511278195488722,0.0001823424275755,0.048389690020241,2.9536668896597176,3.223655816573075
Rasgrp1,RASGRP1,4.0561479595849255,4.000441076695815,0.962406015037594,0.0001249268987767,0.048389690020241,3.768757837191984,4.296075854906321
