mouse,human,atlas_effect,control_effect,auc,p,q,min_batch_loo_effect,max_batch_loo_effect
Ccdc191,CCDC191,-0.08826128615199202,-0.040619970585444864,0.424812030075188,0.5414190808064263,0.7260307015880628,-0.10332416582798354,-0.06901695988193612
Cryzl1,CRYZL1,-0.15819102372635552,-0.05978401984762982,0.35714285714285715,0.24024987870349757,0.4565074677168024,-0.19203488320740014,-0.11864396013481127
Dffa,DFFA,0.5558453580762346,0.9229398706578804,0.7218045112781954,0.06695061263751578,0.22123413980722303,0.47780515806585333,0.6016852895501996
Bpgm,BPGM,-0.3165222083710395,-0.39715930211608175,0.17669172932330826,0.0074163582174797986,0.0791149044231441,-0.3605480208069194,-0.26648145423959857
Lrrc57,LRRC57,-0.09659405712722346,0.18762587389604146,0.4323308270676692,0.5836673142120434,0.7567889752071411,-0.22402090421138787,-0.0020407590843749546
Cln3,CLN3,-0.07129173396221455,0.23358357391475115,0.31954887218045114,0.1368760019470291,0.3284847584328251,-0.12108426413219453,-0.024051713101640892
Supt3,SUPT3H,-0.5585676709868519,-0.313226467406321,0.12781954887218044,0.002037858542737,0.055379177770874824,-0.6441842634417085,-0.4240293126259127
Sav1,SAV1,0.402547552843489,0.5408420390568152,0.7706766917293233,0.025148256323276677,0.13143700274903006,0.3511624669402278,0.45766378583835854
Slc10a7,SLC10A7,0.8541448186999192,0.7810935956085654,0.8233082706766918,0.0074163582174797986,0.0791149044231441,0.8141264952352962,0.88505191091678
Irf8,IRF8,0.07806412121715378,0.09678425507723765,0.4849624060150376,0.9125601417502616,0.9552267683053416,-0.15855637524012534,0.24849730051653685
Creg2,CREG2,0.5542450236100569,0.6795220916115037,0.6954887218045113,0.10678990056200999,0.2870605052652442,0.5334146912118403,0.5918925440648364
Nup37,NUP37,0.37755842373912296,0.22642100216002659,0.8082706766917294,0.010702014793461972,0.08880446005065139,0.17860437911708482,0.555024857421611
Peli2,PELI2,-0.8337257130930489,-0.3486955845103341,0.12781954887218044,0.002037858542737,0.055379177770874824,-0.9366441626772928,-0.6976012972038825
Rpl13,RPL13,0.10731674409572989,0.36529249998431723,0.6052631578947368,0.38912837885385465,0.60455902954774,0.0511107384297933,0.15645295089167988
Tyw3,TYW3,0.049275356633386114,-0.43306756003191893,0.5375939849624061,0.7660808735671761,0.8755993938673546,-0.020673996773203474,0.103272483849429
Eya2,EYA2,0.5618574320170207,0.48526553205883394,0.6879699248120301,0.12109124117515885,0.3088844297861805,0.36029829954324843,0.6689035816345037
Psmb2,PSMB2,-0.20319902268009926,-0.21520800194689294,0.2593984962406015,0.04674679827048352,0.18060013486095827,-0.22698873991644408,-0.18883638732491548
Rgp1,RGP1,0.5724493899225478,0.7530887486725777,0.8421052631578947,0.004595091566150115,0.0684301036031075,0.4522126939429394,0.6559093932019486
Rnls,RNLS,-0.07027698814260508,-0.33667086825551884,0.45112781954887216,0.6952708153676781,0.8352269148627999,-0.10137820100969264,-0.032627719752205686
Lemd1,LEMD1,0.8574647964468527,1.1001553127723764,0.8082706766917294,0.010702014793461972,0.08880446005065139,0.8123024457086148,0.8981435293128248
Sirt5,SIRT5,0.14268911796908323,-0.19055364370625316,0.6654135338345865,0.173115706689554,0.37756870299074957,0.1286778014568455,0.1521839614331828
Fbxl4,FBXL4,0.038761372392070115,0.42861335693304214,0.5526315789473685,0.6724627258209575,0.8196809106945623,-0.007784038846482488,0.10323865004998511
Zdhhc7,ZDHHC7,0.2792072270057071,-0.05576306584380886,0.7819548872180451,0.01964464300443887,0.11639841788677864,0.12538594556533988,0.36192214105562304
Ube2r2,UBE2R2,0.21688507437663151,0.4125347578408727,0.8646616541353384,0.002510889474350685,0.056654797048530915,0.14471642193507517,0.2605269734018547
Glmp,GLMP,-0.04182604997367534,-0.16716630492713236,0.4473684210526316,0.6724627258209575,0.8196809106945623,-0.1270831161814261,0.04351784521732949
Lzic,LZIC,-0.17256600393838895,0.13024190460593932,0.29699248120300753,0.09385111744605337,0.26651999256419273,-0.2663152480918196,-0.11415732314963423
Sgce,SGCE,-0.0066942525610507175,-0.18717222319936866,0.4699248120300752,0.8143077020295144,0.9035369286675586,-0.031532769318214804,0.029976945954975243
Gabarapl2,GABARAPL2,-0.12130425940447154,0.049773061950019404,0.40977443609022557,0.4617709847601852,0.6669494541298989,-0.14589038118294617,-0.10192168089734643
Gtpbp10,GTPBP10,0.2685251557412247,-0.3855103858989648,0.7894736842105263,0.016588688591620444,0.10740815239409203,0.18284326199283774,0.3509099069873516
Coasy,COASY,0.11973555514377932,0.12617327087546304,0.6090225563909775,0.3721167085931474,0.5881097379760667,0.07663515648300745,0.19754362307611384
Macrod1,MACROD1,0.052666077560735935,-0.025251200303912924,0.5225563909774437,0.8632489890081102,0.9285080853458766,-0.04798070972382451,0.13548141571419858
Fosb,FOSB,0.6007994283848448,0.007899124891199705,0.6691729323308271,0.16344544596679556,0.3656895404653725,0.4741176260681046,0.8296669427125671
Tatdn1,TATDN1,-0.05441267493189095,-0.07754808826144366,0.41729323308270677,0.5007557286630573,0.6969396552570326,-0.12786749622547156,0.06420733161616088
Traf3,TRAF3,-0.09498486123127803,-0.3244389913011596,0.43609022556390975,0.6053519967912697,0.7723528046791971,-0.24376143563435626,0.08624310794137502
Cth,CTH,-0.4332547061533778,-0.15787346769813737,0.30451127819548873,0.10614314152697087,0.2870605052652442,-0.4734759702675608,-0.3858867701393563
Lsm6,LSM6,-0.10227233752934417,-0.0042010199844968454,0.3383458646616541,0.18320740145534176,0.39177550581173887,-0.12371460675126311,-0.06028941174575664
Dnajc15,DNAJC15,-0.06998805091453875,0.029463704385396028,0.45864661654135336,0.74229062170785,0.864599432042442,-0.12310770624208267,-0.03990105153084489
Crbn,CRBN,-0.24286705525649843,-0.36522698384140995,0.24060150375939848,0.03193935772365684,0.14888592922183774,-0.2757044932826247,-0.20218751153417447
Ube2z,UBE2Z,0.41405497542337777,0.3898965643555199,0.7556390977443609,0.03452787486650697,0.1548762387084403,0.3773354013714263,0.44199132307720745
Ntpcr,NTPCR,-0.10103166399712293,0.030821357171459063,0.21428571428571427,0.018060127621531002,0.11138242153775801,-0.1357227384388695,-0.0713151682793356
Dnase1l2,DNASE1L2,0.11206084816484152,0.19210140862932035,0.5939849624060151,0.4429177869097508,0.6505084229659445,0.06555280274308595,0.19468941664036465
Coq5,COQ5,-0.07455688261257265,0.17901816518278224,0.37593984962406013,0.308782142873852,0.5268542245276585,-0.12031768130971265,-0.021702493447929072
